ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Wimmer2014JN,"Learning is essential for adaptive decision making. The striatum and its dopaminergic inputs are known to support incremental reward-based learning, while the hippocampus is known to support encoding of single events (episodic memory). Although traditionally studied separately, in even simple experiences, these two types of learning are likely to co-occur and may interact. Here we sought to understand the nature of this interaction by examining how incremental reward learning is related to concurrent episodic memory encoding. During the experiment, human participants made choices between two options (colored squares), each associated with a drifting probability of reward, with the goal of earning as much money as possible. Incidental, trial-unique object pictures, unrelated to the choice, were overlaid on each option. The next day, participants were given a surprise memory test for these pictures. We found that better episodic memory was related to a decreased influence of recent reward experience on choice, both within and across participants. fMRI analyses further revealed that during learning the canonical striatal reward prediction error signal was significantly weaker when episodic memory was stronger. This decrease in reward prediction error signals in the striatum was associated with enhanced functional connectivity between the hippocampus and striatum at the time of choice. Our results suggest a mechanism by which memory encoding may compete for striatal processing and provide insight into how interactions between different forms of learning guide reward-based decision making.",,,,,,,,,"Wimmer, G. Elliott and Braun, Erin Kendall and Daw, Nathaniel D. and Shohamy, Daphna",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL3dpbW1lcjIwMTRqbi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8Qd2ltbWVyMjAxNGpuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOndpbW1lcjIwMTRqbi5wZGYAAA4AIgAQAHcAaQBtAG0AZQByADIAMAAxADQAagBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL3dpbW1lcjIwMTRqbi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2021-01-18 12:31:17 +0100,2021-01-18 12:31:33 +0100,,,10.1523/JNEUROSCI.0204-14.2014,,,,,,https://www.jneurosci.org/content/34/45/14901.full.pdf,,,,,,0270-6474,,,Journal of Neuroscience,,,,,,,,,,,,,,45,,,14901--14912,,,,Society for Neuroscience,,,,,,,,Episodic Memory Encoding Interferes with Reward Learning and Decreases Striatal Prediction Errors,,,,,https://www.jneurosci.org/content/34/45/14901,34,2014,
article,Wimmer2016JN,"Rewarding experiences exert a strong influence on later decision making. While decades of neuroscience research have shown how reinforcement gradually shapes preferences, decisions are often influenced by single past experiences. Surprisingly, relatively little is known about the influence of single learning episodes. Although recent work has proposed a role for episodes in decision making, it is largely unknown whether and how episodic experiences contribute to value-based decision making and how the values of single episodes are represented in the brain. In multiple behavioral experiments and an fMRI experiment, we tested whether and how rewarding episodes could support later decision making. Participants experienced episodes of high reward or low reward in conjunction with incidental, trial-unique neutral pictures. In a surprise test phase, we found that participants could indeed remember the associated level of reward, as evidenced by accurate source memory for value and preferences to re-engage with rewarded objects. Further, in a separate experiment, we found that high-reward objects shown as primes before a gambling task increased financial risk taking. Neurally, re-exposure to objects in the test phase led to significant reactivation of reward-related patterns. Importantly, individual variability in the strength of reactivation predicted value memory performance. Our results provide a novel demonstration that affect-related neural patterns are reactivated during later experience. Reactivation of value information represents a mechanism by which memory can guide decision making.SIGNIFICANCE STATEMENT Rewarding and aversive experiences exert a strong influence on later decision making. Although much is known about how many associations between stimuli and reward shapes preferences, decisions are often supported by the value of single past experiences. Surprisingly, relatively little is known about how episodic experiences influence later behavior. In experiments using monetary reward anticipation in conjunction with incidental objects, we found that later behavior was indeed influenced by the value incidentally associated with objects. Critically, neural patterns related to reward experiences were re-expressed on later exposure and reactivation correlated with behavioral performance. Our results suggest a mechanism by which good and bad episodes from daily life can guide later decision making.",,,,,,,,,"Wimmer, G. Elliott and B{\""u}chel, Christian",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL3dpbW1lcjIwMTZqbi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8Qd2ltbWVyMjAxNmpuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOndpbW1lcjIwMTZqbi5wZGYAAA4AIgAQAHcAaQBtAG0AZQByADIAMAAxADYAagBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL3dpbW1lcjIwMTZqbi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2021-01-18 12:33:08 +0100,2021-01-18 12:33:23 +0100,,,10.1523/JNEUROSCI.3433-15.2016,,,,,,https://www.jneurosci.org/content/36/10/2868.full.pdf,,,,,,0270-6474,,,Journal of Neuroscience,,,,,,,,,,,,,,10,,,2868--2880,,,,Society for Neuroscience,,,,,,,,Reactivation of Reward-Related Patterns from Single Past Episodes Supports Memory-Based Decision Making,,,,,https://www.jneurosci.org/content/36/10/2868,36,2016,
article,Wimmer2020B,"Aversive and rewarding previous experiences can exert a strong influence on our subsequent behavior. During decision making, sampling from these previous episodes may support our choices, but relatively little is known about how the value of single experiences is represented. Further, while recent research has investigated reward-associated episodes, it is unclear if these results generalize to negative experiences such as pain. To investigate whether value-related regions or the hippocampus represent the value of previous aversive experiences, in our experiments participants experienced episodes of high or low pain in conjunction with incidental, trial-unique neutral pictures. In an incentive-compatible surprise test phase, we found that participants avoided pain-paired objects. In a separate fMRI experiment, participants exhibited significant source memory for value. Neurally, when participants were re-exposed to pain-paired objects, we found no evidence for reactivation of pain-related patterns in pain-responsive regions such as the anterior insula. Critically, however, we found that patterns of activity in the hippocampus significantly discriminated episodic pain associations. Further, stronger reactivation in the anterior hippocampus was related to improved value memory performance. Our results demonstrate that single incidental aversive experiences can build reliable memories that affect decision making and that this influence may be supported by the hippocampus.",,,,,,,,,"Wimmer, G. Elliott and B{\""u}chel, Christian",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL3dpbW1lcjIwMjBiLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w93aW1tZXIyMDIwYi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6d2ltbWVyMjAyMGIucGRmAA4AIAAPAHcAaQBtAG0AZQByADIAMAAyADAAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy93aW1tZXIyMDIwYi5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2020-06-11 11:27:56 +0200,2020-06-11 11:28:58 +0200,,,10.1101/2020.05.29.123893,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,May,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,reactivation,,Reactivation of pain-related patterns in the hippocampus from single past episodes relates to successful memory-based decision making,,,,,http://dx.doi.org/10.1101/2020.05.29.123893,,2020,
article,Wimmer2019B,"Our everyday experience shapes how we represent the structure of the world. Retrieval of these experiences from memory is fundamental for informing our future decisions. To uncover the fine-grained neurophysiological mechanisms that support such retrieval we studied participants who first experienced unique multi-component episodes, and subsequently completed cued memory retrieval of these whilst undergoing magnetoencephalography (MEG). Successful retrieval was supported by sequential replay of episodes, with a temporal compression factor greater than 60. This sequential replay was stronger in those participants with weaker overall memories. Replay direction, forward or backward, was dependent on whether a participant{\textquoteright}s goal was to retrieve elements of an episode that followed, or preceded, a retrieval cue. Our results demonstrate that memory-based decisions are supported by a rapid replay mechanism that flexibly shifts in direction.",,,,,,,,,"Wimmer, G. Elliott and Liu, Yunzhe and Vehar, Ne{\v z}a and Behrens, Timothy E.J. and Dolan, Raymond J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL3dpbW1lcjIwMTliLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w93aW1tZXIyMDE5Yi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6d2ltbWVyMjAxOWIucGRmAA4AIAAPAHcAaQBtAG0AZQByADIAMAAxADkAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy93aW1tZXIyMDE5Yi5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2019-11-25 11:46:55 +0100,2020-03-31 14:28:12 +0200,,,10.1101/758185,,,,,,https://www.biorxiv.org/content/early/2019/09/08/758185.full.pdf,,,,,,,,,bioRxiv,,,,,,,,,,,,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,replay; human,,Episodic memory retrieval is supported by rapid replay of episode content,,,,,https://www.biorxiv.org/content/early/2019/09/08/758185,,2019,
article,Wimmer2020NN,"Retrieval of everyday experiences is fundamental for informing our future decisions. The fine-grained neurophysiological mechanisms that support such memory retrieval are largely unknown. We studied participants who first experienced, without repetition, unique multicomponent 40--80-s episodes. One day later, they engaged in cued retrieval of these episodes while undergoing magnetoencephalography. By decoding individual episode elements, we found that trial-by-trial successful retrieval was supported by the sequential replay of episode elements, with a temporal compression factor of >60. The direction of replay supporting retrieval, either backward or forward, depended on whether the task goal was to retrieve elements of an episode that followed or preceded, respectively, a retrieval cue. This sequential replay was weaker in very-high-performing participants, in whom instead we found evidence for simultaneous clustered reactivation. Our results demonstrate that memory-mediated decisions are supported by a rapid replay mechanism that can flexibly shift in direction in response to task goals.",,,,,,,,,"Wimmer, G. Elliott and Liu, Yunzhe and Vehar, Ne{\v z}̌a and Behrens, Timothy E. J. and Dolan, Raymond J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL3dpbW1lcjIwMjBubi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8Qd2ltbWVyMjAyMG5uLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOndpbW1lcjIwMjBubi5wZGYAAA4AIgAQAHcAaQBtAG0AZQByADIAMAAyADAAbgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL3dpbW1lcjIwMjBubi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-06-09 08:09:16 +0200,2020-06-09 08:09:42 +0200,,,10.1038/s41593-020-0649-z,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,,,,,Jun,,,,,,,,,,Springer Science and Business Media LLC,,,,,,,,Episodic memory retrieval success is associated with rapid replay of episode content,,,,,http://dx.doi.org/10.1038/s41593-020-0649-z,,2020,
article,Wimmer2020aB,"Over the past few decades, neuroscience research has illuminated the neural mechanisms supporting learning from reward feedback, demonstrating a critical role for the striatum and ascending midbrain dopamine system. However, in humans, short-term working memory can also play an important role in reward-based learning, particularly in common paradigms that are relatively compressed in time. Given the growing use of reward-based learning tasks in translational studies in computational psychiatry, it is important to further investigate the degree to which apparent reinforcement learning is driven by working memory contributions. In our experiments, we manipulated the spacing between repetitions and also the post-learning delay period duration. Supporting a significant role for working memory in reward-based learning, we found that learning was faster for massed-trained compared to spaced-trained stimuli, and that brief interruptions of massed learning led to drops in subsequent performance. Further, individual differences in working memory capacity positively correlated with massed learning performance. Critically, after a delay period but not immediately, relative performance decayed in the massed condition and increased in the spaced condition. Overall, our results provide further support that working memory plays a large role in temporally condensed reward learning designs. We suggest that spacing training across or between sessions is a promising direction to pursue in future studies investigating the mechanisms of reward-based learning, and particularly in translational research.",,,,,,,,,"Wimmer, G. Elliott and Poldrack, Russell A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL3dpbW1lcjIwMjBhYi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8Qd2ltbWVyMjAyMGFiLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOndpbW1lcjIwMjBhYi5wZGYAAA4AIgAQAHcAaQBtAG0AZQByADIAMAAyADAAYQBiAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL3dpbW1lcjIwMjBhYi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2021-01-19 16:17:38 +0100,2021-01-19 16:18:03 +0100,,,10.1101/2020.03.19.997098,,,,,2020.03.19.997098,https://www.biorxiv.org/content/early/2020/03/20/2020.03.19.997098.full.pdf,,,,,,,,,bioRxiv,,,,,,,,,,,,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,Reward learning and working memory: effects of massed versus spaced training and post-learning delay period,,,,,https://www.biorxiv.org/content/early/2020/03/20/2020.03.19.997098,,2020,
article,Wimmer2012S,"So-called irrational decisions made by humans are popular fodder for {\textquotedblleft}believe it or not{\textquotedblright} stories. But what{\textquoteright}s actually happening when we make choices that do not seem to be justifiable on purely economic or logical grounds? Presumably, we are not simply making errors; instead, our choices may reflect an internal bias that we are not aware of. Wimmer and Shohamy (p. 270) show how the hippocampus can instill an unconscious bias in valuations, whereby an object that is not highly valued on its own, increases in value when it becomes implicitly associated with a truly high-value object. As a consequence, we then end up preferring the associated object over a neutral object of equal objective value while not really knowing why.Every day people make new choices between alternatives that they have never directly experienced. Yet, such decisions are often made rapidly and confidently. Here, we show that the hippocampus, traditionally known for its role in building long-term declarative memories, enables the spread of value across memories, thereby guiding decisions between new choice options. Using functional brain imaging in humans, we discovered that giving people monetary rewards led to activation of a preestablished network of memories, spreading the positive value of reward to nonrewarded items stored in memory. Later, people were biased to choose these nonrewarded items. This decision bias was predicted by activity in the hippocampus, reactivation of associated memories, and connectivity between memory and reward regions in the brain. These findings explain how choices among new alternatives emerge automatically from the associative mechanisms by which the brain builds memories. Further, our findings demonstrate a previously unknown role for the hippocampus in value-based decisions.",,,,,,,,,"Wimmer, G. Elliott and Shohamy, Daphna",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL3dpbW1lcjIwMTJzLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w93aW1tZXIyMDEycy5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6d2ltbWVyMjAxMnMucGRmAA4AIAAPAHcAaQBtAG0AZQByADIAMAAxADIAcwAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy93aW1tZXIyMDEycy5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2020-10-30 16:48:10 +0100,2020-10-30 16:48:36 +0100,,,10.1126/science.1223252,,,,,,https://science.sciencemag.org/content/338/6104/270.full.pdf,,,,,,0036-8075,,,Science,,,,,,,,,,,,,,6104,,,270--273,,,,American Association for the Advancement of Science,,,,,,,,Preference by Association: How Memory Mechanisms in the Hippocampus Bias Decisions,,,,,https://science.sciencemag.org/content/338/6104/270,338,2012,
article,Winocur2011JINS,"With time and experience, memories undergo a process of reorganization that involves different neuronal networks, known as systems consolidation. The traditional view, as articulated in standard consolidation theory (SCT), is that (episodic and semantic) memories initially depend on the hippocampus, but eventually become consolidated in their original forms in other brain regions. In this study, we review the main principles of SCT and report evidence from the neuropsychological literature that would not be predicted by this theory. By comparison, the evidence supports an alternative account, the transformation hypothesis, whose central premise is that changes in neural representation in systems consolidation are accompanied by corresponding changes in the nature of the memory. According to this view, hippocampally dependent, episodic, or context-specific memories transform into semantic or gist-like versions that are represented in extra-hippocampal structures. To the extent that episodic memories are retained, they will continue to require the hippocampus, but the hippocampus is not needed for the retrieval of semantic memories. The transformation hypothesis emphasizes the dynamic nature of memory, as well as the underlying functional and neural interactions that must be taken into account in a comprehensive theory of memory.",,,,,,,,,"Winocur, Gordon and Moscovitch, Morris",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL3dpbm9jdXIyMDExamlucy5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8Td2lub2N1cjIwMTFqaW5zLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOndpbm9jdXIyMDExamlucy5wZGYADgAoABMAdwBpAG4AbwBjAHUAcgAyADAAMQAxAGoAaQBuAHMALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvd2lub2N1cjIwMTFqaW5zLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,Journal of the International Neuropsychological Society,,,,,,2021-01-12 16:19:09 +0100,2021-01-13 11:42:46 +0100,Cambridge Core,,10.1017/S1355617711000683,Cambridge University Press,,,,,,,,,,1355-6177,,,,Journal of the International Neuropsychological Society,,,Memory; Hippocampus; Systems; Consolidation; Transformation; Retrograde amnesia,,,,,,,,,,,5,,,766-780,,,,Cambridge University Press,,,,,,,,Memory Transformation and Systems Consolidation,JOUR,,,,,17,2011,
article,Winocur2007NN,"The traditional view is that the hippocampus is necessary for retaining memories until they are consolidated in their original form in the neocortex. An alternative view is that the original memory, which is hippocampus- and context-dependent, becomes transformed with time to one that is more schematic and independent of the hippocampus. By manipulating context in two protocols that are widely used to investigate hippocampal-neocortical interactions in memory, we find evidence for the transformation view.",,,,,,,,,"Winocur, Gordon and Moscovitch, Morris and Sekeres, Melanie",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL3dpbm9jdXIyMDA3bm4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EXdpbm9jdXIyMDA3bm4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczp3aW5vY3VyMjAwN25uLnBkZgAOACQAEQB3AGkAbgBvAGMAdQByADIAMAAwADcAbgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL3dpbm9jdXIyMDA3bm4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-04-15 13:12:47 +0200,2020-04-15 13:13:19 +0200,,,10.1038/nn1880,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,,,,,Apr,,,5,,,555--557,,,,Springer Science and Business Media LLC,,,,,,,,Memory consolidation or transformation: context manipulation and hippocampal representations of memory,,,,,http://dx.doi.org/10.1038/nn1880,10,2007,
article,Wirth2009N,"In tasks of associative learning, animals establish new links between unrelated items by using information about trial outcome to strengthen correct/rewarded associations and modify incorrect/unrewarded ones. To study how hippocampal neurons convey information about reward and trial outcome during new associative learning, we recorded hippocampal neurons as monkeys learned novel object-place associations. A large population of hippocampal neurons (50%) signaled trial outcome by differentiating between correct and error trials during the period after the behavioral response. About half these cells increased their activity following correct trials (correct up cells) while the remaining half fired more following error trials (error up cells). Moreover, correct up cells, but not error up cells, conveyed information about learning by increasing their stimulus-selective response properties with behavioral learning. These findings suggest that information about successful trial outcome conveyed by correct up cells may influence new associative learning through changes in the cell's stimulus-selective response properties.",,,,,,,,,"Wirth, Sylvia and Avsar, Emin and Chiu, Cindy C. and Sharma, Varun and Smith, Anne C. and Brown, Emery and Suzuki, Wendy A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL3dpcnRoMjAwOW4ucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DndpcnRoMjAwOW4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAUERGIENBUk8AAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczp3aXJ0aDIwMDluLnBkZgAADgAeAA4AdwBpAHIAdABoADIAMAAwADkAbgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy93aXJ0aDIwMDluLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2021-01-19 11:27:46 +0100,2021-01-19 11:28:07 +0100,,,https://doi.org/10.1016/j.neuron.2009.01.012,,,,,,,,,,,,0896-6273,,,Neuron,,,SYSNEURO,,,,,,,,,,,6,,,930 - 940,,,,,,,,,,,,Trial Outcome and Associative Learning Signals in the Monkey Hippocampus,,,,,http://www.sciencedirect.com/science/article/pii/S0896627309000798,61,2009,
